KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Malachi 1:12	But ye have profaned it, in that ye say, The table of the LORD [is] polluted; and the fruit thereof, [even] his meat, [is] contemptible.
Malachi 1:13	Ye said also, Behold, what a weariness [is it]! and ye have snuffed at it, saith the LORD of hosts; and ye brought [that which was] torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.
Malachi 1:14	But cursed [be] the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I [am] a great King, saith the LORD of hosts, and my name [is] dreadful among the heathen.
Malachi 2:1	And now, O ye priests, this commandment [is] for you.
Matthew 1:1	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:2	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
Matthew 1:3	And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
Matthew 1:4	And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
Matthew 1:5	And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
Matthew 1:6	And Jesse begat David the king; and David the king begat Solomon of her [that had been the wife] of Urias;
Matthew 1:7	And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
Matthew 1:8	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
Matthew 1:9	And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
