KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Psalm 2:12	Kiss the Son, lest he be angry, and ye perish [from] the way, when his wrath is kindled but a little. Blessed [are] all they that put their trust in him.
Psalm 3:1	A Psalm of David, when he fled from Absalom his son. LORD, how are they increased that trouble me! many [are] they that rise up against me.
Psalm 3:2	Many [there be] which say of my soul, [There is] no help for him in God. Selah.
Psalm 3:3	But thou, O LORD, [art] a shield for me; my glory, and the lifter up of mine head.
Psalm 3:4	I cried unto the LORD with my voice, and he heard me out of his holy hill. Selah.
Psalm 3:5	I laid me down and slept; I awaked; for the LORD sustained me.
Psalm 3:6	I will not be afraid of ten thousands of people, that have set [themselves] against me round about.
Psalm 3:7	Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies [upon] the cheek bone; thou hast broken the teeth of the ungodly.
Psalm 3:8	Salvation [belongeth] unto the LORD: thy blessing [is] upon thy people. Selah.
Psalm 4:1	To the chief Musician on Neginoth, A Psalm of David. Hear me when I call, O God of my righteousness: thou hast enlarged me [when I was] in distress; have mercy upon me, and hear my prayer.
Psalm 4:2	O ye sons of men, how long [will ye turn] my glory into shame? [how long] will ye love vanity, [and] seek after leasing? Selah.
Psalm 4:3	But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.
Psalm 4:4	Stand in awe, and sin not: commune with your own heart upon your bed, and be still. Selah.
Psalm 4:5	Offer the sacrifices of righteousness, and put your trust in the LORD.
Psalm 4:6	[There be] many that say, Who will shew us [any] good? LORD, lift thou up the light of thy countenance upon us.
Psalm 4:7	Thou hast put gladness in my heart, more than in the time [that] their corn and their wine increased.
Psalm 4:8	I will both lay me down in peace, and sleep: for thou, LORD, only makest me dwell in safety.
Psalm 5:1	To the chief Musician upon Nehiloth, A Psalm of David. Give ear to my words, O LORD, consider my meditation.
Psalm 5:2	Hearken unto the voice of my cry, my King, and my God: for unto thee will I pray.
Psalm 5:3	My voice shalt thou hear in the morning, O LORD; in the morning will I direct [my prayer] unto thee, and will look up.
Psalm 5:4	For thou [art] not a God that hath pleasure in wickedness: neither shall evil dwell with thee.
Psalm 5:5	The foolish shall not stand in thy sight: thou hatest all workers of iniquity.
Psalm 5:6	Thou shalt destroy them that speak leasing: the LORD will abhor the bloody and deceitful man.
Psalm 5:7	But as for me, I will come [into] thy house in the multitude of thy mercy: [and] in thy fear will I worship toward thy holy temple.
Psalm 5:8	Lead me, O LORD, in thy righteousness because of mine enemies; make thy way straight before my face.
Psalm 5:9	For [there is] no faithfulness in their mouth; their inward part [is] very wickedness; their throat [is] an open sepulchre; they flatter with their tongue.
Psalm 5:10	Destroy thou them, O God; let them fall by their own counsels; cast them out in the multitude of their transgressions; for they have rebelled against thee.
Psalm 5:11	But let all those that put their trust in thee rejoice: let them ever shout for joy, because thou defendest them: let them also that love thy name be joyful in thee.
Psalm 5:12	For thou, LORD, wilt bless the righteous; with favour wilt thou compass him as [with] a shield.
Psalm 6:1	To the chief Musician on Neginoth upon Sheminith, A Psalm of David. O LORD, rebuke me not in thine anger, neither chasten me in thy hot displeasure.
Psalm 6:2	Have mercy upon me, O LORD; for I [am] weak: O LORD, heal me; for my bones are vexed.
Psalm 6:3	My soul is also sore vexed: but thou, O LORD, how long?
Psalm 6:4	Return, O LORD, deliver my soul: oh save me for thy mercies’ sake.
Psalm 6:5	For in death [there is] no remembrance of thee: in the grave who shall give thee thanks?
Psalm 6:6	I am weary with my groaning; all the night make I my bed to swim; I water my couch with my tears.
Psalm 6:7	Mine eye is consumed because of grief; it waxeth old because of all mine enemies.
Psalm 6:8	Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping.
Psalm 6:9	The LORD hath heard my supplication; the LORD will receive my prayer.
Psalm 6:10	Let all mine enemies be ashamed and sore vexed: let them return [and] be ashamed suddenly.
Psalm 7:1	Shiggaion of David, which he sang unto the LORD, concerning the words of Cush the Benjamite. O LORD my God, in thee do I put my trust: save me from all them that persecute me, and deliver me:
Psalm 7:2	Lest he tear my soul like a lion, rending [it] in pieces, while [there is] none to deliver.
Psalm 7:3	O LORD my God, if I have done this; if there be iniquity in my hands;
Psalm 7:4	If I have rewarded evil unto him that was at peace with me; (yea, I have delivered him that without cause is mine enemy:)
Psalm 7:5	Let the enemy persecute my soul, and take [it]; yea, let him tread down my life upon the earth, and lay mine honour in the dust. Selah.
Psalm 7:6	Arise, O LORD, in thine anger, lift up thyself because of the rage of mine enemies: and awake for me [to] the judgment [that] thou hast commanded.
Psalm 7:7	So shall the congregation of the people compass thee about: for their sakes therefore return thou on high.
Psalm 7:8	The LORD shall judge the people: judge me, O LORD, according to my righteousness, and according to mine integrity [that is] in me.
Psalm 7:9	Oh let the wickedness of the wicked come to an end; but establish the just: for the righteous God trieth the hearts and reins.
Psalm 7:10	My defence [is] of God, which saveth the upright in heart.
Psalm 7:11	God judgeth the righteous, and God is angry [with the wicked] every day.
Psalm 7:12	If he turn not, he will whet his sword; he hath bent his bow, and made it ready.
Psalm 7:13	He hath also prepared for him the instruments of death; he ordaineth his arrows against the persecutors.
Psalm 7:14	Behold, he travaileth with iniquity, and hath conceived mischief, and brought forth falsehood.
Psalm 7:15	He made a pit, and digged it, and is fallen into the ditch [which] he made.
Psalm 7:16	His mischief shall return upon his own head, and his violent dealing shall come down upon his own pate.
Psalm 7:17	I will praise the LORD according to his righteousness: and will sing praise to the name of the LORD most high.
Psalm 8:1	To the chief Musician upon Gittith, A Psalm of David. O LORD our Lord, how excellent [is] thy name in all the earth! who hast set thy glory above the heavens.
Psalm 8:2	Out of the mouth of babes and sucklings hast thou ordained strength because of thine enemies, that thou mightest still the enemy and the avenger.
Psalm 8:3	When I consider thy heavens, the work of thy fingers, the moon and the stars, which thou hast ordained;
Psalm 8:4	What is man, that thou art mindful of him? and the son of man, that thou visitest him?
Psalm 8:5	For thou hast made him a little lower than the angels, and hast crowned him with glory and honour.
Psalm 8:6	Thou madest him to have dominion over the works of thy hands; thou hast put all [things] under his feet:
Psalm 8:7	All sheep and oxen, yea, and the beasts of the field;
Psalm 8:8	The fowl of the air, and the fish of the sea, [and whatsoever] passeth through the paths of the seas.
Psalm 8:9	O LORD our Lord, how excellent [is] thy name in all the earth!
Psalm 9:1	To the chief Musician upon Muthlabben, A Psalm of David. I will praise [thee], O LORD, with my whole heart; I will shew forth all thy marvellous works.
Psalm 9:2	I will be glad and rejoice in thee: I will sing praise to thy name, O thou most High.
Psalm 9:3	When mine enemies are turned back, they shall fall and perish at thy presence.
Psalm 9:4	For thou hast maintained my right and my cause; thou satest in the throne judging right.
Psalm 9:5	Thou hast rebuked the heathen, thou hast destroyed the wicked, thou hast put out their name for ever and ever.
Psalm 9:6	O thou enemy, destructions are come to a perpetual end: and thou hast destroyed cities; their memorial is perished with them.
Psalm 9:7	But the LORD shall endure for ever: he hath prepared his throne for judgment.
Psalm 9:8	And he shall judge the world in righteousness, he shall minister judgment to the people in uprightness.
Psalm 9:9	The LORD also will be a refuge for the oppressed, a refuge in times of trouble.
Psalm 9:10	And they that know thy name will put their trust in thee: for thou, LORD, hast not forsaken them that seek thee.
Psalm 9:11	Sing praises to the LORD, which dwelleth in Zion: declare among the people his doings.
Psalm 9:12	When he maketh inquisition for blood, he remembereth them: he forgetteth not the cry of the humble.
Psalm 9:13	Have mercy upon me, O LORD; consider my trouble [which I suffer] of them that hate me, thou that liftest me up from the gates of death:
Psalm 9:14	That I may shew forth all thy praise in the gates of the daughter of Zion: I will rejoice in thy salvation.
Psalm 9:15	The heathen are sunk down in the pit [that] they made: in the net which they hid is their own foot taken.
Psalm 9:16	The LORD is known [by] the judgment [which] he executeth: the wicked is snared in the work of his own hands. Higgaion. Selah.
Psalm 9:17	The wicked shall be turned into hell, [and] all the nations that forget God.
Psalm 9:18	For the needy shall not alway be forgotten: the expectation of the poor shall [not] perish for ever.
Psalm 9:19	Arise, O LORD; let not man prevail: let the heathen be judged in thy sight.
Psalm 9:20	Put them in fear, O LORD: [that] the nations may know themselves [to be but] men. Selah.
Psalm 10:1	Why standest thou afar off, O LORD? [why] hidest thou [thyself] in times of trouble?
Psalm 10:2	The wicked in [his] pride doth persecute the poor: let them be taken in the devices that they have imagined.
Psalm 10:3	For the wicked boasteth of his heart’s desire, and blesseth the covetous, [whom] the LORD abhorreth.
Psalm 10:4	The wicked, through the pride of his countenance, will not seek [after God]: God [is] not in all his thoughts.
Psalm 10:5	His ways are always grievous; thy judgments [are] far above out of his sight: [as for] all his enemies, he puffeth at them.
Psalm 10:6	He hath said in his heart, I shall not be moved: for [I shall] never [be] in adversity.
Psalm 10:7	His mouth is full of cursing and deceit and fraud: under his tongue [is] mischief and vanity.
Psalm 10:8	He sitteth in the lurking places of the villages: in the secret places doth he murder the innocent: his eyes are privily set against the poor.
Psalm 10:9	He lieth in wait secretly as a lion in his den: he lieth in wait to catch the poor: he doth catch the poor, when he draweth him into his net.
Psalm 10:10	He croucheth, [and] humbleth himself, that the poor may fall by his strong ones.
Psalm 10:11	He hath said in his heart, God hath forgotten: he hideth his face; he will never see [it].
Psalm 10:12	Arise, O LORD; O God, lift up thine hand: forget not the humble.
Psalm 10:13	Wherefore doth the wicked contemn God? he hath said in his heart, Thou wilt not require [it].
Psalm 10:14	Thou hast seen [it]; for thou beholdest mischief and spite, to requite [it] with thy hand: the poor committeth himself unto thee; thou art the helper of the fatherless.
Psalm 10:15	Break thou the arm of the wicked and the evil [man]: seek out his wickedness [till] thou find none.
Psalm 10:16	The LORD [is] King for ever and ever: the heathen are perished out of his land.
Psalm 10:17	LORD, thou hast heard the desire of the humble: thou wilt prepare their heart, thou wilt cause thine ear to hear:
Psalm 10:18	To judge the fatherless and the oppressed, that the man of the earth may no more oppress.
Song of Solomon 1:1	The song of songs, which [is] Solomon’s.
Song of Solomon 1:2	Let him kiss me with the kisses of his mouth: for thy love [is] better than wine.
Song of Solomon 1:3	Because of the savour of thy good ointments thy name [is as] ointment poured forth, therefore do the virgins love thee.
Song of Solomon 1:4	Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee.
Song of Solomon 1:5	I [am] black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
Song of Solomon 1:6	Look not upon me, because I [am] black, because the sun hath looked upon me: my mother’s children were angry with me; they made me the keeper of the vineyards; [but] mine own vineyard have I not kept.
Song of Solomon 1:7	Tell me, O thou whom my soul loveth, where thou feedest, where thou makest [thy flock] to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?
Song of Solomon 1:8	If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds’ tents.
Song of Solomon 1:9	I have compared thee, O my love, to a company of horses in Pharaoh’s chariots.
Malachi 1:1	The burden of the word of the LORD to Israel by Malachi.
Malachi 1:2	I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? [Was] not Esau Jacob’s brother? saith the LORD: yet I loved Jacob,
Malachi 1:3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Malachi 1:4	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.
Malachi 1:5	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.
Malachi 1:6	A son honoureth [his] father, and a servant his master: if then I [be] a father, where [is] mine honour? and if I [be] a master, where [is] my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?
Malachi 1:7	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD [is] contemptible.
Malachi 1:8	And if ye offer the blind for sacrifice, [is it] not evil? and if ye offer the lame and sick, [is it] not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts.
Malachi 1:9	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts.
Malachi 1:10	Who [is there] even among you that would shut the doors [for nought]? neither do ye kindle [fire] on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.
Malachi 1:11	For from the rising of the sun even unto the going down of the same my name [shall be] great among the Gentiles; and in every place incense [shall be] offered unto my name, and a pure offering: for my name [shall be] great among the heathen, saith the LORD of hosts.
Malachi 1:12	But ye have profaned it, in that ye say, The table of the LORD [is] polluted; and the fruit thereof, [even] his meat, [is] contemptible.
Malachi 1:13	Ye said also, Behold, what a weariness [is it]! and ye have snuffed at it, saith the LORD of hosts; and ye brought [that which was] torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.
Malachi 1:14	But cursed [be] the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I [am] a great King, saith the LORD of hosts, and my name [is] dreadful among the heathen.
Malachi 2:1	And now, O ye priests, this commandment [is] for you.
Matthew 1:1	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:2	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
Matthew 1:3	And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
Matthew 1:4	And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
Matthew 1:5	And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
Matthew 1:6	And Jesse begat David the king; and David the king begat Solomon of her [that had been the wife] of Urias;
Matthew 1:7	And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
Matthew 1:8	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
Matthew 1:9	And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
